"Villejuif, France"	"48,791481"	"2,357791"	"doubt"	""
"Châtillon, France"	"48,802497"	"2,287869"	"doubt"	""
"Malakoff, France"	"48,817196"	"2,299118"	"doubt"	""
"Montrouge, France"	"48,815839"	"2,316222"	"doubt"	""
"Montrouge, France"	"48,815839"	"2,316222"	"doubt"	""
"123 Rue Saint-Dominique, Paris, France"	"48,858603"	"2,303"	"success"	""
"Boulevard Jourdan, Paris, France"	"48,821014"	"2,336048"	"doubt"	""
"Ivry-sur-Seine, France"	"48,813377"	"2,388062"	"doubt"	""
"Villejuif, France"	"48,791481"	"2,357791"	"doubt"	""
"7 Boulevard Montmartre, Paris, France"	"48,871478"	"2,342152"	"success"	""
"Rue Marguerite Renaudin, Sceaux, France"	"48,777279"	"2,292131"	"doubt"	""
"8 Avenue Jeanne et Maurice Dolivet, Fontenay-aux-Roses, France"	"48,791611"	"2,289789"	"success"	""
"Cachan, France"	"48,791816"	"2,331718"	"doubt"	""
"Rue Sadi Carnot, Vanves, France"	"48,823218"	"2,2915"	"doubt"	""
"Clamart, France"	"48,805261"	"2,26558"	"doubt"	""
"Rue Baratte Cholet, Saint-Maur-des-Fossés, France"	"48,79432"	"2,485507"	"doubt"	""
"56 Rue de Paradis, Paris, France"	"48,875716"	"2,348933"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"17 Rue René Boulanger, Paris, France"	"48,869224"	"2,356924"	"success"	""
"Rue des Lions Saint-Paul, Paris, France"	"48,852451"	"2,362128"	"doubt"	""
"11 Cité de Trévise, Paris, France"	"48,875016"	"2,346663"	"success"	""
"5 Rue Drouot, Paris, France"	"48,872561"	"2,340246"	"success"	""
"17 Rue René Boulanger, Paris, France"	"48,869224"	"2,356924"	"success"	""
"61 Rue du Château d'Eau, Paris, France"	"48,872506"	"2,35516"	"success"	""
"Avenue Youri Gagarine, Vitry-sur-Seine, France"	"48,784995"	"2,392453"	"doubt"	""
"Allée Darius Milhaud, Paris, France"	"48,883739"	"2,386072"	"doubt"	""
"Avenue de l'Insurrection, Vitry-sur-Seine, France"	"48,798282"	"2,401564"	"doubt"	""
"50 Boulevard Voltaire, Paris, France"	"48,863117"	"2,370892"	"success"	""
"Rue Henri Ribière, Paris, France"	"48,876846"	"2,395527"	"doubt"	""
"Rue Alphonse Penaud, Paris, France"	"48,86831"	"2,406812"	"doubt"	""
"51 Rue Rodier, Paris, France"	"48,880581"	"2,34389"	"success"	""
"91 Rue Jean-Pierre Timbaud, Paris, France"	"48,868191"	"2,378868"	"doubt"	""
"Rue des Cinq Diamants, Paris, France"	"48,828976"	"2,350959"	"doubt"	""
"7 Rue de Marivaux, Paris, France"	"48,870906"	"2,337413"	"success"	""
"48 Rue Jean-Pierre Timbaud, Paris, France"	"48,866372"	"2,372574"	"success"	""
"66t Rue Albert, Paris, France"	"48,826522"	"2,371309"	"success"	""
"19 Rue des Frigos, Paris, France"	"48,831175"	"2,379062"	"success"	""
"37b Rue de la Grange aux Belles, Paris, France"	"48,875487"	"2,367418"	"success"	""
"5 Rue de la Révolution, Montreuil, France"	"48,856362"	"2,42917"	"success"	""
"Rue du Retrait, Paris, France"	"48,86847"	"2,394518"	"doubt"	""
"38 Rue de Montpensier, Paris, France"	"48,866161"	"2,337548"	"success"	""
"98 Rue de Cléry, Paris, France"	"48,869601"	"2,351707"	"success"	""
"Alfortville, France"	"48,807185"	"2,416261"	"doubt"	""
"116 Rue Rambuteau, Paris, France"	"48,862645"	"2,347467"	"success"	""
"38 Boulevard de Bonne Nouvelle, Paris, France"	"48,870736"	"2,348841"	"success"	""
"Rue Drevet, Paris, France"	"48,885359"	"2,340563"	"doubt"	""
"62 Rue du Faubourg Poissonnière, Paris, France"	"48,875513"	"2,348261"	"success"	""
"7 Boulevard Montmartre, Paris, France"	"48,871478"	"2,342152"	"success"	""
"2bis Passage Ruelle, Paris, France"	"48,886881"	"2,359002"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"33 Boulevard Saint-Martin, Paris, France"	"48,868424"	"2,358165"	"success"	""
"17 Rue René Boulanger, Paris, France"	"48,869224"	"2,356924"	"success"	""
"Vincennes, France"	"48,847539"	"2,437189"	"doubt"	""
"48 Rue du Faubourg Saint-Martin, Paris, France"	"48,870715"	"2,356714"	"success"	""
"34 Rue Saint-André des Arts, Paris, France"	"48,853371"	"2,341868"	"success"	""
"19 Boulevard Saint-Martin, Paris, France"	"48,868148"	"2,359904"	"success"	""
"22 Rue Beautreillis, Paris, France"	"48,853342"	"2,364143"	"success"	""
"Chelles, France"	"48,880128"	"2,585602"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"5 Rue du Plateau, Paris, France"	"48,799761"	"2,354538"	"success"	""
"Ivry-sur-Seine, France"	"48,813377"	"2,388062"	"doubt"	""
"Avenue Gambetta, Maisons-Alfort, France"	"48,80996"	"2,443776"	"doubt"	""
"1 Place Boieldieu, Paris, France"	"48,870708"	"2,337502"	"success"	""
"63 Boulevard de Belleville, Paris, France"	"48,870181"	"2,378764"	"success"	""
"21 Quai de Montebello, Paris, France"	"48,852207"	"2,348389"	"doubt"	""
"15 Rue Ambroise Thomas, Paris, France"	"48,874939"	"2,347543"	"success"	""
"7b Boulevard de Rochechouart, Paris, France"	"48,883419"	"2,348514"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"4 Boulevard des Filles du Calvaire, Paris, France"	"48,860975"	"2,367505"	"success"	""
"38 Boulevard de Bonne Nouvelle, Paris, France"	"48,870736"	"2,348841"	"success"	""
"124 Avenue d'Italie, Paris, France"	"48,823745"	"2,357748"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"157 Rue Saint-Martin, Paris, France"	"48,86218"	"2,351857"	"success"	""
"34 Rue Vivienne, Paris, France"	"48,870608"	"2,341102"	"success"	""
"3 Rue des Déchargeurs, Paris, France"	"48,859703"	"2,345977"	"success"	""
"Rue Nicolas Appert, Paris, France"	"48,859084"	"2,370216"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"Ivry-sur-Seine, France"	"48,813377"	"2,388062"	"doubt"	""
"23 Place de la République, Paris, France"	"48,867804"	"2,362117"	"success"	""
"10 Place Jean Jaurès, Montreuil, France"	"48,862006"	"2,443021"	"success"	""
"Ivry-sur-Seine, France"	"48,813377"	"2,388062"	"doubt"	""
"8 Rue Victor Massé, Paris, France"	"48,880616"	"2,339547"	"success"	""
"23 Rue de la Huchette, Paris, France"	"48,853034"	"2,345358"	"success"	""
"16 Passage de la Bonne Graine, Paris, France"	"48,852192"	"2,377191"	"success"	""
"19 Rue Chapon, Paris, France"	"48,863455"	"2,355747"	"success"	""
"10 Boulevard Montmartre, Paris, France"	"48,871812"	"2,342084"	"success"	""
"Rue Pradier, Paris, France"	"48,875802"	"2,382061"	"doubt"	""
"Rue Anquetil, Nogent-sur-Marne, France"	"48,842348"	"2,486664"	"doubt"	""
"Rue Frédérick Lemaître, Paris, France"	"48,874249"	"2,392536"	"doubt"	""
"94200, Ivry-sur-Seine, France"	"48,812807"	"2,38778"	"doubt"	""
"16 Rue de Tolbiac, Paris, France"	"48,829626"	"2,374806"	"success"	""
"1 Passage du Buisson Saint-Louis, Paris, France"	"48,872114"	"2,372657"	"success"	""
"Rue du Sergent Bobillot, Montreuil, France"	"48,854499"	"2,43359"	"doubt"	""
"Avenue de la République, Thiais, France"	"48,765632"	"2,392683"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"30 Rue Keller, Paris, France"	"48,85517"	"2,375644"	"success"	""
"14b Boulevard Haussmann, Paris, France"	"48,872566"	"2,336968"	"success"	""
"30 Rue Hélène Brion, Paris, France"	"48,828043"	"2,380488"	"doubt"	""
"Rue Pierre Picard, Paris, France"	"48,88471"	"2,346027"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"Rue Marcelin Berthelot, Montreuil, France"	"48,856223"	"2,437929"	"doubt"	""
"c/o Gaité Lyrique 3bis Rue Papin 75003 Paris"	"failed"	"failed"	"failed"	""
"Rue de la Dhuis, Paris, France"	"48,867942"	"2,404856"	"doubt"	""
"39 Quai d'Anjou, Paris, France"	"48,852304"	"2,357334"	"success"	""
"4 Boulevard de Strasbourg, Paris, France"	"48,86983"	"2,354761"	"success"	""
"30 Avenue d'Italie, Paris, France"	"48,828156"	"2,355377"	"success"	""
"42 Boulevard du Temple, Paris, France"	"48,86569"	"2,365579"	"success"	""
"Rue du Clos, Paris, France"	"48,913373"	"2,296736"	"doubt"	""
"Villejuif, France"	"48,791481"	"2,357791"	"doubt"	""
"20 Rue Marsoulan, Paris, France"	"48,846598"	"2,403363"	"success"	""
"Rue de la Liberté, Saint-Maur-des-Fossés, France"	"48,798503"	"2,491746"	"doubt"	""
"4 Rue Édouard Quénu, Paris, France"	"48,839252"	"2,34949"	"success"	""
"73 Rue Mouffetard, Paris, France"	"48,842213"	"2,34982"	"success"	""
"Avenue Junot, Paris, France"	"48,888503"	"2,335498"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"12 Rue du Renard, Paris, France"	"48,858834"	"2,352322"	"success"	""
"3 Rue des Déchargeurs, Paris, France"	"48,859703"	"2,345977"	"success"	""
"14 Rue de Trévise, Paris, France"	"48,873483"	"2,34528"	"success"	""
"Rue de Meaux, Paris, France"	"48,881937"	"2,374047"	"doubt"	""
"10 Rue des Terres au Curé, Paris, France"	"48,824061"	"2,372345"	"success"	""
"13 Rue des Boulets, Paris, France"	"48,85"	"2,39092"	"success"	""
"8 Rue de Nesle, Paris, France"	"48,855231"	"2,339093"	"success"	""
"45 Rue Richard Lenoir, Paris, France"	"48,856521"	"2,381091"	"success"	""
"6 Impasse Lamier, Paris, France"	"48,85779"	"2,388876"	"success"	""
"17 Cité Joly, Paris, France"	"48,862857"	"2,382586"	"success"	""
"1 Boulevard Saint-Martin, Paris, France"	"48,867862"	"2,361942"	"success"	""
"41 Boulevard du Temple, Paris, France"	"48,86624"	"2,364591"	"success"	""
"Ivry-sur-Seine, France"	"48,813377"	"2,388062"	"doubt"	""
"36 Rue Bichat, Paris, France"	"48,871525"	"2,368135"	"success"	""
"37 Rue du Faubourg du Temple, Paris, France"	"48,869143"	"2,368301"	"success"	""
"127/129 Rue Saint-Martin, Paris, France"	"48,860991"	"2,351085"	"success"	""
"76 Rue de la Roquette, Paris, France"	"48,855869"	"2,375549"	"success"	""
"Rue Pierre de Montreuil, Montreuil, France"	"48,863205"	"2,464601"	"doubt"	""
"37 Rue Volta, France"	"48,806898"	"2,412678"	"success"	""
"Rue du Général Blaise, Paris, France"	"48,861465"	"2,378572"	"doubt"	""
"Rue Victor Hugo, Montreuil, France"	"48,861879"	"2,439634"	"doubt"	""
"9 Rue du Morvan, Paris, France"	"48,860067"	"2,381575"	"success"	""
"94 Rue du Faubourg du Temple, Paris, France"	"48,871046"	"2,374274"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"124 Avenue d'Italie, Paris, France"	"48,823745"	"2,357748"	"success"	""
"Place Charles Dullin, Paris, France"	"48,883252"	"2,342158"	"doubt"	""
"Rue Édouard Vaillant, Montreuil, France"	"48,854257"	"2,432028"	"doubt"	""
"7 Rue Louise Weiss, Paris, France"	"48,833154"	"2,370559"	"success"	""
"29 Rue de Dunkerque, Paris, France"	"48,880238"	"2,353141"	"success"	""
"7 Rue Sainte-Croix de la Bretonnerie, Paris, France"	"48,857836"	"2,356937"	"success"	""
"34 Rue Vivienne, Paris, France"	"48,870608"	"2,341102"	"success"	""
"12 Rue Édouard Lockroy, Paris, France"	"48,865809"	"2,374521"	"success"	""
"Avenue du Général de Gaulle, Maisons-Alfort, France"	"48,801227"	"2,431462"	"doubt"	""
"14 Boulevard de Strasbourg, Paris, France"	"48,870609"	"2,355198"	"success"	""
"99 Boulevard Saint-Germain, Paris, France"	"48,852146"	"2,339003"	"success"	""
"6 Rue Pierre au Lard, Paris, France"	"48,859805"	"2,353076"	"success"	""
"38 Rue de Montpensier, Paris, France"	"48,866161"	"2,337548"	"success"	""
"Rue des Abbesses, Paris, France"	"48,884895"	"2,3374"	"doubt"	""
"14 Boulevard de Strasbourg, Paris, France"	"48,870609"	"2,355198"	"success"	""
"5 Rue Blainville, Paris, France"	"48,844471"	"2,348842"	"success"	""
"13 Rue Victor Cousin, Paris, France"	"48,847515"	"2,342296"	"success"	""
"51 Rue Saint-Georges, Paris, France"	"48,878142"	"2,337405"	"success"	""
"Rue de la Prairie, Le Perreux-sur-Marne, France"	"48,846943"	"2,509953"	"doubt"	""
"41 Rue du Temple, Paris, France"	"48,859562"	"2,353992"	"success"	""
"Place de l'Odéon, Paris, France"	"48,850024"	"2,338713"	"success"	""
"1 Boulevard Poissonnière, Paris, France"	"48,870553"	"2,34775"	"success"	""
"Rue de la Chine, Paris, France"	"48,867372"	"2,398963"	"doubt"	""
"22 Rue Beautreillis, Paris, France"	"48,853342"	"2,364143"	"success"	""
"2bis Passage Ruelle, Paris, France"	"48,886881"	"2,359002"	"success"	""
"Rue Guillemeteau, Gagny, France"	"48,88462"	"2,530277"	"doubt"	""
"17 Boulevard de Strasbourg, Paris, France"	"48,87047"	"2,354682"	"success"	""
"Les Lilas, France"	"48,881336"	"2,419364"	"doubt"	""
"17 Rue d'Aligre, Paris, France"	"48,849611"	"2,378529"	"success"	""
"17 Boulevard de Strasbourg, Paris, France"	"48,87047"	"2,354682"	"success"	""
"24 Boulevard Poissonnière, Paris, France"	"48,871353"	"2,344893"	"success"	""
"7 Boulevard Montmartre, Paris, France"	"48,871478"	"2,342152"	"success"	""
"Rue du Capitaine Ferber, Paris, France"	"48,866351"	"2,406263"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Montreuil, France"	"48,864158"	"2,448297"	"doubt"	""
"12 Rue du Télégraphe, Paris, France"	"48,872064"	"2,399895"	"success"	""
"14 Rue Alexandre Dumas, Paris, France"	"48,853038"	"2,390347"	"success"	""
"Rue des Ormeaux, Paris, France"	"48,851024"	"2,399922"	"success"	""
"41 Rue de Maubeuge, Paris, France"	"48,87883"	"2,346382"	"success"	""
"28 bis Rue Gaston Lauriau, Montreuil, France"	"48,85988"	"2,444974"	"success"	""
"Paris, France"	"48,859116"	"2,331839"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"Avenue Léon Gaumont, Paris, France"	"48,850673"	"2,415815"	"doubt"	""
"Avenue Pierre et Marie Curie, Le Blanc-Mesnil, France"	"48,936107"	"2,459806"	"doubt"	""
"Bobigny, France"	"48,906114"	"2,440012"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Place du Général de Gaulle, Montreuil-sur-Mer, France"	"50,461935"	"1,760432"	"doubt"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"Rue des Pyrénées, Paris, France"	"48,847784"	"2,406448"	"doubt"	""
"Rue Frédérick Lemaître, Paris, France"	"48,874249"	"2,392536"	"doubt"	""
"Rue Alphonse Penaud, Paris, France"	"48,86831"	"2,406812"	"doubt"	""
"Avenue Jean Jaurès, Paris, France"	"48,88944"	"2,395577"	"doubt"	""
"Rue de Rosny, Montreuil, France"	"48,862969"	"2,448769"	"doubt"	""
"Rue Girard, Montreuil, France"	"48,857234"	"2,434833"	"doubt"	""
"Rue Danielle Casanova, Aubervilliers, France"	"48,919101"	"2,387236"	"doubt"	""
"Aubervilliers, France"	"48,910939"	"2,384788"	"doubt"	""
"13 Rue des Boulets, Paris, France"	"48,85"	"2,39092"	"success"	""
"Aubervilliers, France"	"48,910939"	"2,384788"	"doubt"	""
"Rue Pixérécourt, Paris, France"	"48,872647"	"2,396138"	"doubt"	""
"Rue Louis Lumière, Paris, France"	"48,864941"	"2,410168"	"doubt"	""
"Bobigny, France"	"48,906114"	"2,440012"	"doubt"	""
"Rue Pelleport, Paris, France"	"48,868514"	"2,401226"	"doubt"	""
"Avenue Rabelais, Fontenay-sous-Bois, France"	"48,852313"	"2,47802"	"doubt"	""
"Vincennes, France"	"48,847539"	"2,437189"	"doubt"	""
"Rue des Cascades, Paris, France"	"48,871167"	"2,391271"	"doubt"	""
"Vincennes, France"	"48,847539"	"2,437189"	"doubt"	""
"Boulevard Davout, Paris, France"	"48,848154"	"2,411136"	"doubt"	""
"Rue Paul et Camille Thomoux, Neuilly-sur-Marne, France"	"48,861431"	"2,527994"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Rue de la Bidassoa, Paris, France"	"48,866562"	"2,393149"	"doubt"	""
"Avenue Pasteur, Montreuil, France"	"48,870441"	"2,431634"	"doubt"	""
"25 Rue Boyer, Paris, France"	"48,868714"	"2,39205"	"success"	""
"Rue de Belleville, Paris, France"	"48,872156"	"2,377195"	"doubt"	""
"211 avenue Jean Jaurès, Paris, France"	"48,894062"	"2,392952"	"success"	""
"211 avenue Jean Jaurès, Paris, France"	"48,894062"	"2,392952"	"success"	""
"Rue Maryse Hilsz, Paris, France"	"48,85115"	"2,412649"	"doubt"	""
"Rue Boyer, Paris, France"	"48,867957"	"2,39244"	"doubt"	""
"Rue de l'Ermitage, Paris, France"	"48,871257"	"2,391901"	"doubt"	""
"5 Rue de la Révolution, Montreuil, France"	"48,856362"	"2,42917"	"success"	""
"221 Avenue Jean Jaurès, Paris, France"	"48,889765"	"2,393844"	"success"	""
"Rue Antoinette, Montreuil, France"	"48,87355"	"2,458773"	"doubt"	""
"Gagny, France"	"48,884161"	"2,53867"	"doubt"	""
"221 Avenue Jean Jaurès, Paris, France"	"48,889765"	"2,393844"	"success"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue des Pyrénées, Paris, France"	"48,847784"	"2,406448"	"doubt"	""
"Rue de Paris, Les Lilas, France"	"48,898269"	"2,440405"	"doubt"	""
"Rue des Rigoles, Paris, France"	"48,87254"	"2,392493"	"doubt"	""
"Rue Goubet, Paris, France"	"48,88504"	"2,390088"	"doubt"	""
"Rue des Pyrénées, Paris, France"	"48,847784"	"2,406448"	"doubt"	""
"Rue Sadi Carnot, Drancy, France"	"48,92631"	"2,439528"	"doubt"	""
"Allée Darius Milhaud, Paris, France"	"48,883739"	"2,386072"	"doubt"	""
"Pantin, France"	"48,898752"	"2,406974"	"doubt"	""
"Rue Chassagnolle, Les Lilas, France"	"48,875615"	"2,414147"	"doubt"	""
"Rosny-sous-Bois, France"	"48,875966"	"2,486779"	"doubt"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue Augustin Thierry, Paris, France"	"48,876087"	"2,393955"	"doubt"	""
"Montreuil, France"	"48,864158"	"2,448297"	"doubt"	""
"Rue Chassagnolle, Les Lilas, France"	"48,875615"	"2,414147"	"doubt"	""
"Rue Étienne Marcel, Montreuil, France"	"48,877951"	"2,449979"	"doubt"	""
"11 bis Rue Rabelais, Montreuil, France"	"48,862526"	"2,4385"	"success"	""
"Rue Antoinette, Montreuil, France"	"48,87355"	"2,458773"	"doubt"	""
"Rue Haxo, Paris, France"	"48,873963"	"2,403405"	"doubt"	""
"Bagnolet, France"	"48,868627"	"2,421451"	"doubt"	""
"Rue de la Solidarité, Paris, France"	"48,853118"	"2,438216"	"doubt"	""
"Rue Eugène Martin, Fontenay-sous-Bois, France"	"48,850274"	"2,458726"	"doubt"	""
"Aubervilliers, France"	"48,910939"	"2,384788"	"doubt"	""
"Rue de Stalingrad, Montreuil, France"	"48,856419"	"2,445276"	"doubt"	""
"Rue Molière, Montreuil, France"	"48,856011"	"2,447469"	"doubt"	""
"5 Rue de la Révolution, Montreuil, France"	"48,856362"	"2,42917"	"success"	""
